,genes,cluster,p_val,avg_logFC,scores,p_val_adj
102,NPIPB3,3,0.02817153453861706,3.2255747318267822,2.1948893070220947,0.9990239867670291
103,RPS3AP26,3,0.0460597573284773,1.079180359840393,1.9948452711105347,0.9990239867670291
104,TSC22D3,3,0.0473725070539544,1.7911502122879028,1.982954502105713,0.9990239867670291
105,NPIPB12,3,0.04911793298847428,3.109349012374878,1.9675664901733398,0.9990239867670291
106,AC008038.1,3,0.05217503875501945,1.2391713857650757,1.941686749458313,0.9990239867670291
107,NPIPB5,3,0.05565741061682299,2.0627477169036865,1.9137085676193237,0.9990239867670291
108,RPS26,3,0.05886133885446496,1.5686863660812378,1.8892276287078857,0.9990239867670291
109,GATD3B,3,0.09794271222382157,29.419876098632812,1.6549102067947388,0.9990239867670291
110,MT-ND4L,3,0.1015419399618366,1.3642144203186035,1.6374238729476929,0.9990239867670291
111,NPIPB13,3,0.10330658715771009,3.2844793796539307,1.6290303468704224,0.9990239867670291
112,GATD3A,3,0.10494551692297888,6.046480178833008,1.6213363409042358,0.9990239867670291
113,FYB1,3,0.11218190705567183,1.2354717254638672,1.588461995124817,0.9990239867670291
114,CD8B,3,0.11425142347641574,2.9925761222839355,1.579369068145752,0.9990239867670291
115,RPS15A,3,0.11749383733584273,1.1217310428619385,1.5653799772262573,0.9990239867670291
116,RPS3AP6,3,0.12713167630398864,0.8894065618515015,1.5255110263824463,0.9990239867670291
117,LTB,3,0.13461875012575972,0.9644220471382141,1.4961339235305786,0.9990239867670291
118,HNRNPD,3,0.13663490618103385,2.118708848953247,1.488439917564392,0.9990239867670291
119,RPL24,3,0.13867428398107404,0.7622581124305725,1.4807459115982056,0.9990239867670291
120,SF3B1,3,0.14784872352388007,1.362648606300354,1.4471721649169922,0.9990239867670291
121,FP565260.2,3,0.15604645250170823,29.12919044494629,1.418494462966919,0.9990239867670291
122,IL7R,3,0.1578912645784888,0.9751582145690918,1.4121993780136108,0.9990239867670291
123,HLA-F,3,0.16865847945503065,1.046671986579895,1.376527190208435,0.9990239867670291
124,NPIPB11,3,0.17748187710290864,2.834739923477173,1.3485490083694458,0.9990239867670291
125,RPS24,3,0.17860853696390522,0.7780522108078003,1.3450517654418945,0.9990239867670291
126,PPP1CC,3,0.1894603093977374,2.5950188636779785,1.312177300453186,0.9990239867670291
127,GIMAP1-GIMAP5,3,0.20878246275200474,1.8692302703857422,1.256920337677002,0.9990239867670291
128,RPL22,3,0.20903587687683056,0.8929662704467773,1.2562209367752075,0.9990239867670291
129,AC115223.1,3,0.21856939608288495,1.7996214628219604,1.2303410768508911,0.9990239867670291
130,BCLAF1,3,0.22545294513084624,1.8091535568237305,1.2121553421020508,0.9990239867670291
131,CD74,4,1.649385849386026e-17,5.513450622558594,8.516154289245605,1.1756822334423592e-13
132,MS4A1,4,6.820120667994059e-10,8.46422290802002,6.170205593109131,2.4306910060730825e-06
133,HLA-DRA,4,2.535221248010919e-08,5.286018371582031,5.570834636688232,6.0236856852739434e-05
134,CD79A,4,4.612279998885992e-08,8.652563095092773,5.465644359588623,8.219082958014837e-05
135,IGKC,4,6.38380967485584e-07,8.506473541259766,4.979228973388672,0.0009100759072474486
136,HLA-DRB1,4,1.7019129412628103e-05,3.5372025966644287,4.300788879394531,0.01783413771219691
137,HLA-DPB1,4,4.358873981312585e-05,3.8175487518310547,4.087584972381592,0.03747109487285048
138,IGHA1,4,4.731198847582132e-05,31.836566925048828,4.068523406982422,0.03747109487285048
139,IGHM,4,0.0010176568769571575,6.677430629730225,3.2855992317199707,0.6044881849125516
140,HLA-DMB,4,0.001285318658277322,5.4435625076293945,3.219237804412842,0.6544108140143393
141,IGHA2,4,0.0018631363927812529,30.992576599121094,3.1112239360809326,0.8853624138496514
142,JCHAIN,4,0.004519503415868702,7.363636493682861,2.8394241333007812,0.9963240611242495
143,CD52,4,0.00774633237125865,1.428788185119629,2.662930965423584,0.9963240611242495
144,IGLC2,4,0.011701178579975408,5.437166213989258,2.5210301876068115,0.9963240611242495
145,CD37,4,0.01732036191801904,2.3052825927734375,2.379835605621338,0.9963240611242495
146,HLA-DRB5,4,0.02046508769694197,3.5797317028045654,2.3177099227905273,0.9963240611242495
147,HLA-DQA1,4,0.022175218908945755,5.104499340057373,2.287353038787842,0.9963240611242495
148,IGLC3,4,0.022842564024183946,5.1432108879089355,2.276057481765747,0.9963240611242495
149,IGHG1,4,0.03335340379950076,7.069279670715332,2.127803087234497,0.9963240611242495
150,HLA-DRB6,4,0.033588339428766524,3.7400660514831543,2.124979257583618,0.9963240611242495
151,IGHG4,4,0.03620456686596506,5.718666076660156,2.0946223735809326,0.9963240611242495
152,HLA-DQB1,4,0.04210338529860927,4.604124546051025,2.032496929168701,0.9963240611242495
153,HLA-DPA1,4,0.053503252572109444,2.149195909500122,1.9308366775512695,0.9963240611242495
154,IGHG3,4,0.055543624771932865,29.776561737060547,1.9145992994308472,0.9963240611242495
155,RALGPS2,4,0.06497734906056353,5.200319290161133,1.8454139232635498,0.9963240611242495
156,NAPSB,4,0.068330235964539,4.807502269744873,1.8228228092193604,0.9963240611242495
157,HLA-DQA2,4,0.07126870272787471,3.1133670806884766,1.8037614822387695,0.9963240611242495
158,RPLP0,4,0.08095602441971596,0.8151463270187378,1.7451657056808472,0.9963240611242495
159,SYVN1,4,0.08244118798569927,1.2738170623779297,1.736694097518921,0.9963240611242495
160,CD53,4,0.08344351265906719,1.4497326612472534,1.7310463190078735,0.9963240611242495
161,AC244205.1,4,0.09388040868688904,29.586429595947266,1.67527437210083,0.9963240611242495
162,BANK1,4,0.09388040868688904,29.36285400390625,1.67527437210083,0.9963240611242495
163,IGHG2,4,0.09969594226959497,6.4734015464782715,1.6463295221328735,0.9963240611242495
164,MEF2C,4,0.10027836934611363,5.882257461547852,1.643505573272705,0.9963240611242495
165,SYNGR2,4,0.10174630785963835,2.36110520362854,1.6364458799362183,0.9963240611242495
166,CRIP1,4,0.11688895993195826,1.0695022344589233,1.5679664611816406,0.9963240611242495
167,BIRC3,4,0.12781271017505275,2.6778080463409424,1.5227842330932617,0.9963240611242495
168,MT-RNR1,4,0.1294105526172701,1.0621408224105835,1.516430377960205,0.9963240611242495
169,RPS11,4,0.13174587980539137,0.8385436534881592,1.507252812385559,0.9963240611242495
170,SLC25A5,4,0.13247097460811566,2.023613691329956,1.5044288635253906,0.9963240611242495
171,STX7,4,0.13393043253695144,3.6850645542144775,1.4987810850143433,0.9963240611242495
172,RPL23AP2,4,0.13448092466048409,1.1682547330856323,1.496663212776184,0.9963240611242495
173,PSAP,5,9.032228295296263e-16,7.79263973236084,8.039341926574707,6.438172328887176e-12
174,FTL,5,2.5860179147471852e-15,5.137180805206299,7.909414768218994,9.216567848158967e-12
175,FTH1,5,1.6027872505191702e-12,4.371740818023682,7.065291881561279,3.808222507233549e-09
176,CTSS,5,1.5919935745310898e-10,6.02638053894043,6.3962883949279785,2.8369325498144015e-07
