barcodes,UMI,cell
1416,145,noise
1417,145,noise
1418,145,noise
1419,145,noise
1420,145,noise
1421,144,noise
1422,144,noise
1423,144,noise
1424,144,noise
1425,144,noise
1426,144,noise
1427,144,noise
1428,144,noise
1429,144,noise
1430,144,noise
1431,144,noise
1432,144,noise
1433,144,noise
1434,144,noise
1435,144,noise
1436,144,noise
1437,144,noise
1438,143,noise
1439,143,noise
1440,143,noise
1441,143,noise
1442,143,noise
1443,143,noise
1444,143,noise
1445,143,noise
1446,143,noise
1447,143,noise
1448,142,noise
1449,142,noise
1450,142,noise
1451,142,noise
1452,142,noise
1453,142,noise
1454,142,noise
1455,142,noise
1456,142,noise
1457,142,noise
1458,141,noise
1459,141,noise
1460,141,noise
1461,141,noise
1462,141,noise
1463,141,noise
1464,141,noise
1465,141,noise
1466,141,noise
1467,141,noise
1468,141,noise
1469,141,noise
1470,140,noise
1471,140,noise
1472,140,noise
1473,139,noise
1474,139,noise
1475,139,noise
1476,139,noise
1477,139,noise
1478,139,noise
1479,139,noise
1480,139,noise
1481,139,noise
1482,138,noise
1483,138,noise
1484,138,noise
1485,138,noise
1486,138,noise
1487,138,noise
1488,138,noise
1489,138,noise
1490,138,noise
1491,138,noise
1492,138,noise
1493,138,noise
1494,137,noise
1495,137,noise
1496,137,noise
1497,137,noise
1498,137,noise
1499,137,noise
1500,137,noise
1501,137,noise
1502,137,noise
1503,136,noise
1504,136,noise
1505,136,noise
1506,136,noise
1507,136,noise
1508,136,noise
1509,136,noise
1510,136,noise
1511,136,noise
1512,135,noise
1513,135,noise
1514,135,noise
1515,135,noise
1516,135,noise
1517,135,noise
1518,135,noise
1519,135,noise
1520,135,noise
1521,135,noise
1522,134,noise
1523,134,noise
1524,134,noise
1525,134,noise
1526,134,noise
1527,134,noise
1528,134,noise
1529,134,noise
1530,134,noise
1531,134,noise
1532,133,noise
1533,133,noise
1534,133,noise
1535,133,noise
1536,133,noise
1537,133,noise
1538,133,noise
1539,133,noise
1540,133,noise
1541,133,noise
1542,133,noise
1543,133,noise
1544,132,noise
1545,132,noise
1546,132,noise
1547,132,noise
1548,132,noise
1549,132,noise
1550,132,noise
1551,131,noise
1552,131,noise
1553,131,noise
1554,131,noise
1555,131,noise
1556,131,noise
1557,131,noise
1558,131,noise
1559,131,noise
1560,131,noise
1561,131,noise
1562,130,noise
1563,130,noise
1564,130,noise
1565,130,noise
1566,130,noise
1567,130,noise
1568,130,noise
1569,130,noise
1570,130,noise
1571,130,noise
1572,130,noise
1573,129,noise
1574,129,noise
1575,129,noise
1576,129,noise
1577,129,noise
1578,129,noise
1579,129,noise
1580,129,noise
1581,129,noise
1582,128,noise
1583,128,noise
1584,128,noise
1585,128,noise
1586,128,noise
1587,128,noise
1588,128,noise
1589,128,noise
1590,128,noise
1591,128,noise
1592,128,noise
1593,128,noise
1594,128,noise
1595,127,noise
1596,127,noise
1597,127,noise
1598,127,noise
1599,127,noise
1600,127,noise
1601,127,noise
1602,127,noise
1603,127,noise
1604,127,noise
1605,126,noise
1606,126,noise
1607,126,noise
1608,126,noise
1609,126,noise
1610,126,noise
1611,126,noise
1612,125,noise
1613,125,noise
1614,125,noise
1615,125,noise
1616,125,noise
1617,125,noise
1618,125,noise
1619,125,noise
1620,125,noise
1621,125,noise
1622,124,noise
1623,124,noise
1624,124,noise
1625,124,noise
1626,124,noise
1627,124,noise
1628,124,noise
1629,124,noise
1630,123,noise
1631,123,noise
1632,123,noise
1633,123,noise
1634,123,noise
1635,123,noise
1636,123,noise
1637,123,noise
1638,123,noise
1639,123,noise
1640,123,noise
1641,122,noise
1642,122,noise
1643,122,noise
1644,122,noise
1645,122,noise
1646,122,noise
1647,122,noise
1648,122,noise
1649,122,noise
1650,122,noise
1651,122,noise
1652,122,noise
1653,122,noise
1654,122,noise
1655,122,noise
1656,121,noise
1657,121,noise
1658,121,noise
1659,121,noise
1660,121,noise
1661,121,noise
1662,121,noise
1663,121,noise
1664,120,noise
1665,120,noise
1666,120,noise
1667,120,noise
1668,120,noise
1669,120,noise
1670,120,noise
1671,120,noise
1672,120,noise
1673,120,noise
1674,120,noise
1675,120,noise
1676,120,noise
1677,119,noise
1678,119,noise
1679,119,noise
1680,119,noise
1681,119,noise
1682,119,noise
1683,119,noise
1684,119,noise
1685,119,noise
1686,119,noise
1687,119,noise
1688,119,noise
1689,118,noise
1690,118,noise
1691,118,noise
1692,118,noise
1693,118,noise
1694,118,noise
1695,118,noise
1696,118,noise
1697,118,noise
1698,118,noise
1699,118,noise
1700,118,noise
1701,118,noise
1702,117,noise
1703,117,noise
1704,117,noise
1705,117,noise
1706,117,noise
1707,117,noise
1708,117,noise
1709,117,noise
1710,117,noise
1711,116,noise
1712,116,noise
1713,116,noise
1714,116,noise
1715,116,noise
1716,115,noise
1717,115,noise
1718,115,noise
1719,115,noise
1720,115,noise
1721,115,noise
1722,115,noise
1723,115,noise
1724,115,noise
1725,115,noise
1726,115,noise
1727,114,noise
1728,114,noise
1729,114,noise
1730,114,noise
1731,114,noise
1732,114,noise
1733,113,noise
1734,113,noise
1735,113,noise
1736,113,noise
1737,113,noise
1738,113,noise
1739,113,noise
1740,113,noise
1741,113,noise
1742,113,noise
1743,113,noise
1744,112,noise
1745,112,noise
1746,112,noise
1747,112,noise
1748,112,noise
1749,112,noise
1750,112,noise
1751,112,noise
1752,112,noise
1753,112,noise
1754,112,noise
1755,112,noise
1756,111,noise
1757,111,noise
1758,111,noise
1759,111,noise
1760,111,noise
1761,111,noise
1762,111,noise
1763,111,noise
1764,110,noise
1765,110,noise
1766,110,noise
1767,110,noise
1768,110,noise
1769,110,noise
1770,110,noise
1771,110,noise
1772,110,noise
1773,110,noise
1774,110,noise
1775,109,noise
1776,109,noise
1777,109,noise
1778,109,noise
1779,109,noise
1780,109,noise
1781,109,noise
1782,109,noise
1783,109,noise
1784,109,noise
1785,109,noise
1786,109,noise
1787,109,noise
1788,109,noise
1789,109,noise
1790,108,noise
1791,108,noise
1792,108,noise
1793,108,noise
1794,108,noise
1795,108,noise
1796,108,noise
1797,108,noise
1798,108,noise
1799,108,noise
1800,108,noise
1801,107,noise
1802,107,noise
1803,107,noise
1804,107,noise
1805,107,noise
1806,107,noise
1807,107,noise
1808,107,noise
1809,107,noise
1810,107,noise
1811,107,noise
1812,107,noise
1813,107,noise
1814,106,noise
1815,106,noise
1816,106,noise
1817,106,noise
1818,106,noise
1819,106,noise
1820,106,noise
1821,106,noise
1822,106,noise
1823,106,noise
1824,106,noise
1825,105,noise
1826,105,noise
1827,105,noise
1828,105,noise
1829,105,noise
1830,105,noise
1831,104,noise
1832,104,noise
1833,104,noise
1834,104,noise
1835,104,noise
1836,104,noise
1837,104,noise
1838,104,noise
1839,103,noise
1840,103,noise
1841,103,noise
1842,103,noise
1843,103,noise
1844,103,noise
1845,103,noise
1846,103,noise
1847,103,noise
1848,103,noise
1849,102,noise
1850,102,noise
1851,102,noise
1852,102,noise
1853,102,noise
1854,102,noise
1855,102,noise
1856,102,noise
1857,102,noise
1858,102,noise
1859,102,noise
1860,102,noise
1861,102,noise
1862,101,noise
1863,101,noise
1864,101,noise
1865,101,noise
1866,101,noise
1867,101,noise
1868,101,noise
1869,101,noise
1870,101,noise
1871,101,noise
1872,101,noise
1873,101,noise
1874,100,noise
1875,100,noise
1876,100,noise
1877,100,noise
1878,100,noise
1879,100,noise
1880,100,noise
1881,100,noise
1882,100,noise
1883,100,noise
1884,99,noise
1885,99,noise
1886,99,noise
1887,99,noise
1888,99,noise
1889,99,noise
1890,99,noise
1891,99,noise
1892,98,noise
1893,98,noise
1894,98,noise
1895,98,noise
1896,98,noise
1897,98,noise
1898,98,noise
1899,97,noise
1900,97,noise
1901,97,noise
1902,97,noise
1903,97,noise
1904,97,noise
1905,97,noise
1906,97,noise
1907,96,noise
1908,96,noise
1909,96,noise
1910,96,noise
1911,96,noise
1912,96,noise
1913,96,noise
1914,96,noise
1915,96,noise
1916,96,noise
1917,96,noise
1918,96,noise
1919,96,noise
1920,96,noise
1921,96,noise
1922,95,noise
1923,95,noise
1924,95,noise
1925,95,noise
1926,95,noise
1927,94,noise
1928,94,noise
1929,94,noise
1930,94,noise
1931,94,noise
1932,94,noise
1933,93,noise
1934,93,noise
1935,93,noise
1936,93,noise
1937,93,noise
1938,93,noise
1939,93,noise
1940,93,noise
1941,93,noise
1942,92,noise
1943,92,noise
1944,92,noise
1945,92,noise
1946,92,noise
1947,92,noise
1948,91,noise
1949,91,noise
1950,91,noise
1951,91,noise
1952,91,noise
1953,91,noise
1954,91,noise
1955,91,noise
1956,90,noise
1957,90,noise
1958,90,noise
1959,90,noise
1960,90,noise
1961,90,noise
1962,89,noise
1963,89,noise
1964,89,noise
1965,89,noise
1966,89,noise
1967,89,noise
1968,89,noise
1969,89,noise
1970,88,noise
1971,88,noise
1972,88,noise
1973,88,noise
1974,88,noise
